,load_kw,solar_kw,lmp,p_chg,p_dis,soc_kwh,grid_import,grid_export,mdp1
2025-01-01 00:00:00-05:00,259.6901296296296,0.0,0.023504472211419783,30.995093144189923,0.0,789.2590996721407,290.68522277381953,0.0,259.6901296296296
2025-01-01 01:00:00-05:00,261.261,0.0,0.022035442698206044,39.3734801586977,0.0,825.8778230432308,300.6344801586977,0.0,261.261
2025-01-01 02:00:00-05:00,264.6356666666667,0.0,0.0211540249902778,26.98272247180313,0.0,850.8729853881683,291.6183891384698,0.0,264.6356666666667
2025-01-01 03:00:00-05:00,267.2574666666667,0.0,0.0211540249902778,17.196565616471503,0.0,866.6879188646354,284.4540322831382,0.0,267.2574666666667
2025-01-01 04:00:00-05:00,266.1970166666667,0.0,0.022916860406134287,38.6574865278524,0.0,902.6349806737156,304.8545031945191,0.0,266.1970166666667
2025-01-01 05:00:00-05:00,264.33315,0.0,0.027911560751060986,47.08821917126744,0.0,946.4907707343021,311.42136917126743,0.0,264.33315
2025-01-01 06:00:00-05:00,265.1363166666667,0.0,0.03525670831712967,0.0,0.0,946.1738957343022,265.1363166666667,0.0,265.1363166666667
2025-01-01 07:00:00-05:00,265.06675,0.0,0.038194767343557146,0.0,0.0,945.8570207343022,265.06675,0.0,265.06675
2025-01-01 08:00:00-05:00,253.80543333333333,0.0,0.036725737830343406,0.0,0.0,945.5401457343022,253.80543333333333,0.0,253.80543333333333
2025-01-01 09:00:00-05:00,253.5882,0.0,0.03378767880391593,50.150796844020505,0.0,992.2688883112816,303.7389968440205,0.0,253.5882
2025-01-01 10:00:00-05:00,260.37306666666666,0.0,0.030849619777488468,32.24218597499373,0.0,1022.1978647569352,292.6152526416604,0.0,260.37306666666666
2025-01-01 11:00:00-05:00,267.20076666666665,0.0,0.029380590264274725,19.238700057706353,0.0,1039.9284901467715,286.439466724373,0.0,267.20076666666665
2025-01-01 12:00:00-05:00,266.94285,0.0,0.028792978458989232,21.90127802888958,0.0,1060.1568350721673,288.8441280288896,0.0,266.94285
2025-01-01 13:00:00-05:00,260.71925,0.0,0.02849917255634648,20.792869033056547,0.0,1079.3454001930859,281.51211903305654,0.0,260.71925
2025-01-01 14:00:00-05:00,269.1338,0.0,0.028792978458989232,13.048422546152779,0.0,1091.269030543348,282.1822225461528,0.0,269.1338
2025-01-01 15:00:00-05:00,264.92611666666664,0.0,0.030849619777488468,29.317641072621598,0.0,1118.4545406889222,294.24375773928824,0.0,264.92611666666664
2025-01-01 16:00:00-05:00,265.00385,0.0,0.03525670831712967,25.955623193103065,0.0,1142.4861985051161,290.95947319310307,0.0,265.00385
2025-01-01 17:00:00-05:00,265.27656666666667,0.0,0.039663796856770885,0.0,258.87315925525434,866.209608512815,6.403407411412331,0.0,265.27656666666667
2025-01-01 18:00:00-05:00,265.2133666666667,0.0,0.038194767343557146,0.0,0.0,865.892733512815,265.2133666666667,0.0,265.2133666666667
2025-01-01 19:00:00-05:00,267.09346666666664,0.0,0.03525670831712967,0.0,0.0,865.575858512815,267.09346666666664,0.0,267.09346666666664
2025-01-01 20:00:00-05:00,264.43285,0.0,0.031731037485416703,0.0,0.0,865.258983512815,264.43285,0.0,264.43285
