,load_kw,solar_kw,lmp,p_chg,p_dis,soc_kwh,grid_import,grid_export,mdp1
2025-01-01 00:00:00-05:00,259.6901296296296,0.0,0.023504472211419783,0.0,6.010968665605134,753.7754108725093,253.67916096402448,0.0,259.6901296296296
2025-01-01 01:00:00-05:00,261.261,0.0,0.022035442698206044,0.0,11.38655113609886,741.3204315773289,249.87444886390116,0.0,261.261
2025-01-01 02:00:00-05:00,264.6356666666667,0.0,0.0211540249902778,0.0,11.946415131541443,728.2686352576983,252.68925153512524,0.0,264.6356666666667
2025-01-01 03:00:00-05:00,267.2574666666667,0.0,0.0211540249902778,0.0,2.139572487554773,725.6709683224911,265.1178941791119,0.0,267.2574666666667
2025-01-01 04:00:00-05:00,266.1970166666667,0.0,0.022916860406134287,0.0,26.989034367784797,696.5836860177017,239.2079822988819,0.0,266.1970166666667
2025-01-01 05:00:00-05:00,264.33315,0.0,0.027911560751060986,0.0,10.602505624366557,684.964502046305,253.73064437563343,0.0,264.33315
2025-01-01 06:00:00-05:00,265.1363166666667,0.0,0.03525670831712967,0.0,27.021790549143844,655.8423015348613,238.11452611752284,0.0,265.1363166666667
2025-01-01 07:00:00-05:00,265.06675,0.0,0.038194767343557146,0.0,188.80514482656878,454.2584658916152,76.26160517343124,0.0,265.06675
2025-01-01 08:00:00-05:00,253.80543333333333,28.92700526819345,0.036725737830343406,0.0,0.0,453.9415908916152,224.87842806513987,0.0,253.80543333333333
2025-01-01 09:00:00-05:00,253.5882,87.78474191747938,0.03378767880391593,90.75432702123172,0.0,538.7598210381261,256.55778510375234,0.0,253.5882
2025-01-01 10:00:00-05:00,260.37306666666666,131.32079201666838,0.030849619777488468,79.5183293503953,0.0,613.0377510741109,208.5706040003936,0.0,260.37306666666666
2025-01-01 11:00:00-05:00,267.20076666666665,158.65767195287629,0.029380590264274725,127.9406633296264,0.0,732.7398567948196,236.48375804341677,0.0,267.20076666666665
2025-01-01 12:00:00-05:00,266.94285,168.78888879350723,0.028792978458989232,161.6023703310565,0.0,884.0194427199416,259.7563315375493,0.0,266.94285
2025-01-01 13:00:00-05:00,260.71925,161.2400626180953,0.02849917255634648,156.03578643037815,0.0,1030.0771100738393,255.51497381228285,0.0,260.71925
2025-01-01 14:00:00-05:00,269.1338,136.36937579367225,0.028792978458989232,129.94441090835912,0.0,1151.658897638947,262.70883511468685,0.0,269.1338
2025-01-01 15:00:00-05:00,264.92611666666664,95.15302052121643,0.030849619777488468,64.04273219669747,0.0,1211.4194307184553,233.81582834214768,0.0,264.92611666666664
2025-01-01 16:00:00-05:00,265.00385,38.37456022568506,0.03525670831712967,11.314762192251237,0.0,1221.716743499493,237.94405196656618,0.0,265.00385
2025-01-01 17:00:00-05:00,265.27656666666667,0.0,0.039663796856770885,0.0,18.455300781367413,1201.726451763764,246.82126588529925,0.0,265.27656666666667
2025-01-01 18:00:00-05:00,265.2133666666667,0.0,0.038194767343557146,0.0,14.353390797649894,1186.1088107628093,250.85997586901678,0.0,265.2133666666667
2025-01-01 19:00:00-05:00,267.09346666666664,0.0,0.03525670831712967,0.0,5.26252786671742,1180.1820622076818,261.8309387999492,0.0,267.09346666666664
2025-01-01 20:00:00-05:00,264.43285,0.0,0.031731037485416703,0.0,12.923788895680474,1166.088381954743,251.5090611043195,0.0,264.43285
2025-01-01 21:00:00-05:00,256.43488333333335,0.0,0.028792978458989232,0.0,9.408497220385897,1155.7420152186628,247.02638611294745,0.0,256.43488333333335
2025-01-01 22:00:00-05:00,255.89366666666663,0.0,0.025854919432561758,0.0,13.18433528047504,1141.3705915863136,242.7093313861916,0.0,255.89366666666663
2025-01-01 23:00:00-05:00,260.91161666666665,0.0,0.024092084016705276,0.0,10.978196077523052,1129.3509202462124,249.9334205891436,0.0,260.91161666666665
2025-01-02 00:00:00-05:00,263.7234,0.0,0.023504472211419783,0.0,20.7493833863318,1106.9151282366968,242.97401661366823,0.0,263.7234
2025-01-02 01:00:00-05:00,266.07455,0.0,0.022035442698206044,0.0,28.137230871007915,1076.6038643468864,237.93731912899207,0.0,266.07455
2025-01-02 02:00:00-05:00,260.4252666666667,0.0,0.0211540249902778,0.0,15.504888751887478,1059.758722402304,244.9203779147792,0.0,260.4252666666667
