,load_kw,solar_kw,lmp,p_chg,p_dis,soc_kwh,grid_import,grid_export,mdp1,mdp2
2025-01-01 00:00:00-06:00,1300.3638333333333,0.0,0.022807010127994864,0.0,34.66895288042631,1483.409022052971,1265.694880452907,0.0,726.2007666666667,574.1630666666666
2025-01-01 01:00:00-06:00,1349.6433499999998,0.0,0.021381571994995182,1500.0,0.0,2889.9,2849.64335,0.0,709.5156,640.12775
2025-01-01 02:00:00-06:00,1250.6119166666667,0.0,0.020526309115195377,0.6755797699518405,0.0,2889.9,1251.2874964366185,0.0,738.8314833333334,511.78043333333335
2025-01-01 03:00:00-06:00,1419.2436166666666,0.0,0.020526309115195377,0.6755797699518405,0.0,2889.9,1419.9191964366184,0.0,808.0906666666667,611.15295
2025-01-01 04:00:00-06:00,1447.0414999999998,0.0,0.02223683487479499,0.6755797699518405,0.0,2889.9,1447.7170797699516,0.0,790.6339333333333,656.4075666666666
2025-01-01 05:00:00-06:00,1334.10365,0.0,0.027083324526993895,0.6755797699518405,0.0,2889.9,1334.7792297699518,0.0,778.5586166666667,555.5450333333333
2025-01-01 06:00:00-06:00,1370.3455166666668,0.0,0.034210515191992294,0.0,1127.2360287150952,1687.6286058804415,243.1094879515715,0.0,756.1184333333333,614.2270833333333
2025-01-01 07:00:00-06:00,1410.3746666666666,0.0,0.03706139145799165,0.0,1439.2644941411488,152.73375000000053,0.0,0.0,767.0912,643.2834666666666
2025-01-01 08:00:00-06:00,1373.5960666666667,208.46801871036988,0.03563595332499197,0.0,0.0,152.10000000000053,1165.1280479562968,0.0,740.8681,632.7279666666667
2025-01-01 09:00:00-06:00,1250.9077166666666,625.4887713703947,0.03278507705899261,0.6755797699518405,0.0,152.10000000000053,626.0945250662237,0.0,722.3231666666667,528.58455
2025-01-01 10:00:00-06:00,1318.4467,932.7065204819,0.029934200792993262,0.6755797699518405,0.0,152.10000000000053,386.4157592880518,0.0,714.0144833333334,604.4322166666667
2025-01-01 11:00:00-06:00,1258.0404333333333,1118.570415807397,0.028508762659993577,1419.855765731855,0.0,1483.4090220529717,1559.3257832577913,0.0,723.8112833333333,534.22915
2025-01-01 12:00:00-06:00,1295.4201833333332,1175.87433882617,0.027938587406793707,1500.0,0.0,2889.9,1619.545844507163,0.0,715.87745,579.5427333333333
2025-01-01 13:00:00-06:00,1308.7585166666668,1101.9706778853617,0.02765349978019377,0.6755797699518405,0.0,2889.9,207.46341855125686,0.0,736.74625,572.0122666666666
2025-01-01 14:00:00-06:00,1376.6173666666668,900.2482571064535,0.027938587406793707,0.6755797699518405,0.0,2889.9,477.0446893301652,0.0,767.0279,609.5894666666667
2025-01-01 15:00:00-06:00,1345.6166333333333,578.2255731121747,0.029934200792993262,0.6755797699518405,0.0,2889.9,768.0666399911104,0.0,749.1079333333333,596.5087
2025-01-01 16:00:00-06:00,1289.8402833333334,152.07208013245037,0.034210515191992294,0.0,0.0,2889.26625,1137.7682032008831,0.0,748.23545,541.6048333333333
2025-01-01 17:00:00-06:00,1281.8924,0.0,0.03848682959099133,0.0,1300.6349058032129,1502.1510318282158,0.0,0.0,715.3042333333333,566.5881666666667
2025-01-01 18:00:00-06:00,1411.4861999999998,0.0,0.03706139145799165,0.0,1265.2711068554738,152.73375000000007,146.215093144526,0.0,791.5544166666666,619.9317833333333
2025-01-01 19:00:00-06:00,1287.1830166666666,0.0,0.034210515191992294,0.0,0.0,152.10000000000008,1287.1830166666666,0.0,752.4014833333333,534.7815333333333
2025-01-01 20:00:00-06:00,1312.7191833333334,0.0,0.030789463672793067,1.3511595399036642,0.0,152.73375000000007,1314.070342873237,0.0,723.9649666666667,588.7542166666667
2025-01-01 21:00:00-06:00,1283.0966666666668,0.0,0.027938587406793707,0.0,0.0,152.10000000000008,1283.0966666666668,0.0,747.22145,535.8752166666667
2025-01-01 22:00:00-06:00,1287.2381166666667,0.0,0.02508771114079435,0.6755797699518405,0.0,152.10000000000008,1287.9136964366185,0.0,702.8773,584.3608166666667
2025-01-01 23:00:00-06:00,1347.8890500000002,0.0,0.023377185381194734,1.3511595399036642,0.0,152.73375000000007,1349.2402095399038,0.0,739.6545166666667,608.2345333333334
2025-01-02 00:00:00-06:00,1402.01075,0.0,0.022807010127994864,0.0,0.0,152.10000000000008,1402.01075,0.0,776.9049666666667,625.1057833333333
2025-01-02 01:00:00-06:00,1336.4720166666666,0.0,0.021381571994995182,1.3511595399036642,0.0,152.73375000000007,1337.8231762065702,0.0,754.24305,582.2289666666667
2025-01-02 02:00:00-06:00,1323.6189333333332,0.0,0.020526309115195377,0.0,0.0,152.10000000000008,1323.6189333333332,0.0,748.1910666666666,575.4278666666667
2025-01-02 03:00:00-06:00,1234.1307833333335,0.0,0.020526309115195377,1500.0,0.0,1558.5909779470292,2734.1307833333335,0.0,721.4478833333334,512.6829
2025-01-02 04:00:00-06:00,1271.1168666666667,0.0,0.02223683487479499,1419.855765731855,0.0,2889.9,2690.9726323985215,0.0,692.5808333333333,578.5360333333333
2025-01-02 05:00:00-06:00,1461.2032666666667,0.0,0.027083324526993895,0.6755797699518405,0.0,2889.9,1461.8788464366185,0.0,785.91585,675.2874166666667
2025-01-02 06:00:00-06:00,1434.5923166666666,0.0,0.034210515191992294,0.0,962.912985133365,1862.7975589072366,471.6793315333016,0.0,766.0369,668.5554166666667
2025-01-02 07:00:00-06:00,1470.0882666666666,0.0,0.03706139145799165,0.0,0.0,1862.1638089072367,1470.0882666666666,0.0,773.6681166666667,696.42015
2025-01-02 08:00:00-06:00,1469.8060666666665,207.84808225131448,0.03563595332499197,0.0,1303.9093808511616,471.557988605896,0.0,0.0,767.2598333333333,702.5462333333334
2025-01-02 09:00:00-06:00,1434.1714,625.3918921482982,0.03278507705899261,0.0,0.0,470.924238605896,808.7795078517017,0.0,738.1216,696.0498
2025-01-02 10:00:00-06:00,1421.1526059322034,933.4962272460912,0.029934200792993262,635.1261263301601,0.0,1066.0916070888138,1122.7825050162724,0.0,706.4143559322034,714.73825
2025-01-02 11:00:00-06:00,1447.1707000000001,1120.3745060669253,0.028508762659993577,0.0,0.0,1065.4578570888139,326.79619393307485,0.0,770.1609166666667,677.0097833333333
2025-01-02 12:00:00-06:00,1551.32995,1178.7206364567078,0.027938587406793707,1035.1792683120943,0.0,2035.9083379555207,1407.7885818553866,0.0,857.0956833333333,694.2342666666667
2025-01-02 13:00:00-06:00,1468.9926666666665,1105.8230862528064,0.02765349978019377,911.0337503179583,0.0,2889.8999999999996,1274.2033307318184,0.0,791.1803166666666,677.81235
2025-01-02 14:00:00-06:00,1433.0601,905.0495140685751,0.027938587406793707,0.0,0.0,2889.2662499999997,528.0105859314248,0.0,747.43855,685.62155
2025-01-02 15:00:00-06:00,1488.8531333333333,583.9947140265518,0.029934200792993262,0.0,0.0,2888.6324999999997,904.8584193067815,0.0,801.9426333333333,686.9105
2025-01-02 16:00:00-06:00,1462.8413666666665,158.35695707079682,0.034210515191992294,0.0,693.578918638822,2148.641138485267,610.9054909570477,0.0,757.1706666666666,705.6707
2025-01-02 17:00:00-06:00,1402.7708333333335,0.0,0.03848682959099133,0.0,1382.4247426243132,674.3376613091475,20.346090709020245,0.0,721.2104,681.5604333333333
2025-01-02 18:00:00-06:00,1390.2766333333334,0.0,0.03706139145799165,0.0,117.9599661263178,547.9581649120751,1272.3166672070156,0.0,726.35005,663.9265833333334
2025-01-02 19:00:00-06:00,1430.9906,0.0,0.034210515191992294,0.0,131.80690747282233,406.81777944295817,1299.1836925271778,0.0,757.6541,673.3365
2025-01-02 20:00:00-06:00,1440.9130333333333,0.0,0.030789463672793067,0.0,100.90523865185855,298.6186836199078,1340.0077946814747,0.0,747.9156333333333,692.9974
2025-01-02 21:00:00-06:00,1501.5042166666667,0.0,0.027938587406793707,0.0,136.85219835432213,152.1,1364.6520183123446,0.0,810.6996833333334,690.8045333333333
2025-01-02 22:00:00-06:00,1436.8544,0.0,0.02508771114079435,0.6755797699518405,0.0,152.1,1437.5299797699518,0.0,724.8801,711.9743
2025-01-02 23:00:00-06:00,1363.2849999999999,0.0,0.023377185381194734,0.6755797699518405,0.0,152.1,1363.9605797699517,0.0,738.83745,624.44755
2025-01-03 00:00:00-06:00,1405.7786166666667,0.0,0.022807010127994864,1421.2069252717586,0.0,1484.676522052971,2826.9855419384253,0.0,714.7014,691.0772166666667
2025-01-03 01:00:00-06:00,1390.3533166666666,0.0,0.021381571994995182,0.0,0.0,1484.042772052971,1390.3533166666666,0.0,726.4866,663.8667166666667
2025-01-03 02:00:00-06:00,1386.2726166666666,0.0,0.020526309115195377,0.0,0.0,1483.409022052971,1386.2726166666666,0.0,718.1804666666667,668.09215
2025-01-03 03:00:00-06:00,1340.5729000000001,0.0,0.020526309115195377,1500.0,0.0,2889.9,2840.5729,0.0,721.86145,618.71145
2025-01-03 04:00:00-06:00,1384.95945,0.0,0.02223683487479499,0.6755797699518405,0.0,2889.9,1385.6350297699519,0.0,709.3343333333333,675.6251166666667
2025-01-03 05:00:00-06:00,1446.1278833333333,0.0,0.027083324526993895,0.6755797699518405,0.0,2889.9,1446.8034631032851,0.0,796.7158666666667,649.4120166666667
2025-01-03 06:00:00-06:00,1528.1681166666667,0.0,0.034210515191992294,0.0,1095.4830481191332,1721.477396927866,432.68506854753355,0.0,837.89765,690.2704666666667
2025-01-03 07:00:00-06:00,1510.1408833333332,0.0,0.03706139145799165,0.0,1470.4229645395535,153.36750000000026,39.717918793779745,0.0,808.8568666666666,701.2840166666666
2025-01-03 08:00:00-06:00,1543.8363166666668,207.5219298649948,0.03563595332499197,0.0,0.0,152.73375000000027,1336.314386801672,0.0,826.6213666666666,717.21495
2025-01-03 09:00:00-06:00,1471.3803,625.5626914120121,0.03278507705899261,0.0,0.0,152.10000000000028,845.8176085879879,0.0,751.4936833333334,719.8866166666667
2025-01-03 10:00:00-06:00,1457.8289333333332,934.5330822744147,0.029934200792993262,0.6755797699518405,0.0,152.10000000000028,523.9714308288703,0.0,748.5515333333333,709.2774
2025-01-03 11:00:00-06:00,1397.9016333333334,1122.4119266173784,0.028508762659993577,670.0415336563187,0.0,780.020923839572,945.5312403722737,0.0,749.0156333333333,648.886
2025-01-03 12:00:00-06:00,1434.8167333333333,1181.7869530759729,0.027938587406793707,0.0,0.0,779.387173839572,253.02978025736047,0.0,761.2396333333334,673.5771
2025-01-03 13:00:00-06:00,1421.2361166666667,1109.8814889619266,0.02765349978019377,0.0,0.0,778.7534238395721,311.3546277047401,0.0,720.1863333333333,701.0497833333334
2025-01-03 14:00:00-06:00,1463.2631000000001,910.043367309656,0.027938587406793707,790.436640202413,0.0,1519.614968709028,1343.6563728927572,0.0,771.7968333333333,691.4662666666667
2025-01-03 15:00:00-06:00,1435.7237333333333,589.9480031711023,0.029934200792993262,533.4777969990548,0.0,2019.4277520210783,1379.2535271612858,0.0,736.8592,698.8645333333334
2025-01-03 16:00:00-06:00,1401.5085166666668,164.86898301910594,0.034210515191992294,0.0,0.0,2018.7940020210783,1236.6395336475607,0.0,714.4895166666666,687.019
2025-01-03 17:00:00-06:00,1387.8755666666666,0.0,0.03848682959099133,0.0,1395.3304435310256,530.7330014530469,0.0,0.0,718.0936833333334,669.7818833333333
2025-01-03 18:00:00-06:00,1414.2074333333335,0.0,0.03706139145799165,0.0,114.7979364699072,407.7242399953965,1299.4094968634263,0.0,749.0182666666667,665.1891666666667
2025-01-03 19:00:00-06:00,1440.5333,0.0,0.034210515191992294,0.0,98.81972453941398,301.7483096860607,1341.713575460586,0.0,770.1314333333333,670.4018666666667
2025-01-03 20:00:00-06:00,1381.7921666666666,0.0,0.030789463672793067,0.0,60.807989252763946,236.293025341893,1320.9841774139027,0.0,733.6345833333334,648.1575833333334
2025-01-03 21:00:00-06:00,1420.3908999999999,0.0,0.027938587406793707,0.0,78.38554838860773,152.10000000000036,1342.0053516113921,0.0,765.5483166666667,654.8425833333333
2025-01-03 22:00:00-06:00,1447.2407666666668,0.0,0.02508771114079435,0.6755797699518405,0.0,152.10000000000036,1447.9163464366186,0.0,765.3838,681.8569666666667
2025-01-03 23:00:00-06:00,1385.4342333333334,0.0,0.023377185381194734,0.6755797699518405,0.0,152.10000000000036,1386.1098131032852,0.0,765.0511833333334,620.38305
2025-01-04 00:00:00-06:00,1411.3662166666668,0.0,0.01870174830495579,1500.0,0.0,1558.5909779470294,2911.366216666667,0.0,736.5147166666667,674.8515
2025-01-04 01:00:00-06:00,1391.0097833333334,0.0,0.01753288903589605,0.0,0.0,1557.9572279470294,1391.0097833333334,0.0,734.7171,656.2926833333333
2025-01-04 02:00:00-06:00,1378.8780833333335,0.0,0.016831573474460206,1420.5313455018068,0.0,2889.9,2799.4094288351403,0.0,725.9515333333334,652.92655
2025-01-04 03:00:00-06:00,1334.63645,0.0,0.016831573474460206,0.0,0.0,2889.26625,1334.63645,0.0,687.0546333333333,647.5818166666667
2025-01-04 04:00:00-06:00,1407.9867166666668,0.0,0.01823420459733189,1.3511595399036036,0.0,2889.9,1409.3378762065704,0.0,702.8264333333333,705.1602833333334
2025-01-04 05:00:00-06:00,1448.11795,0.0,0.022208326112134996,0.6755797699518405,0.0,2889.9,1448.7935297699519,0.0,762.0734666666667,686.0444833333333
2025-01-04 06:00:00-06:00,1474.7384166666666,0.0,0.02805262245743368,0.0,1490.8067016362895,1300.0609663169917,0.0,0.0,774.8327333333333,699.9056833333333
2025-01-04 07:00:00-06:00,1452.36105,0.0,0.030390340995553156,0.0,1075.099311022397,153.3675000000005,377.26173897760304,0.0,783.8284833333333,668.5325666666666
2025-01-04 08:00:00-06:00,1405.3664666666668,207.4899528334319,0.029221481726493415,0.0,0.0,152.7337500000005,1197.8765138332349,0.0,772.3492333333334,633.0172333333334
2025-01-04 09:00:00-06:00,1398.4873166666666,626.0013712330891,0.02688376318837394,0.0,0.0,152.1000000000005,772.4859454335775,0.0,742.8725333333333,655.6147833333333
2025-01-04 10:00:00-06:00,1463.2483499999998,935.8163516333616,0.02454604465025447,0.6755797699518405,0.0,152.1000000000005,528.1075781365901,0.0,756.7578833333333,706.4904666666666
2025-01-04 11:00:00-06:00,1397.0171666666665,1124.680790868887,0.023377185381194734,1421.2069252717586,0.0,1484.6765220529717,1693.543301069538,0.0,743.78225,653.2349166666667
2025-01-04 12:00:00-06:00,1370.3568500000001,1185.0701797248194,0.02290964167357084,0.0,0.0,1484.0427720529717,185.28667027518077,0.0,777.9996,592.35725
2025-01-04 13:00:00-06:00,1455.6048833333334,1114.141539081633,0.022675869819758887,0.0,0.0,1483.4090220529717,341.4633442517004,0.0,704.6963833333333,750.9085
2025-01-04 14:00:00-06:00,1430.7750166666667,915.2241580564564,0.02290964167357084,1500.0,0.0,2889.9,2015.5508586102103,0.0,726.5217,704.2533166666667
2025-01-04 15:00:00-06:00,1334.8507166666668,596.0780619136568,0.02454604465025447,0.0,0.0,2889.26625,738.77265475301,0.0,707.4801,627.3706166666667
2025-01-04 16:00:00-06:00,1340.6993333333335,171.599355462405,0.02805262245743368,0.0,0.0,2888.6325,1169.0999778709286,0.0,735.9431833333333,604.75615
2025-01-04 17:00:00-06:00,1339.0562333333332,0.0,0.03155920026461289,0.0,1330.9758568203151,1469.1737193694323,8.080376513018109,0.0,726.9622833333333,612.09395
2025-01-04 18:00:00-06:00,1386.9838,0.0,0.030390340995553156,0.0,1234.335645640814,152.73375000000007,152.64815435918604,0.0,712.6467833333334,674.3370166666666
2025-01-04 19:00:00-06:00,1291.8087166666667,0.0,0.02805262245743368,0.0,0.0,152.10000000000008,1291.8087166666667,0.0,730.3332166666667,561.4755
2025-01-04 20:00:00-06:00,1387.80265,0.0,0.025247360211690315,0.6755797699518405,0.0,152.10000000000008,1388.478229769952,0.0,740.5096,647.29305
2025-01-04 21:00:00-06:00,1387.5322666666666,0.0,0.02290964167357084,0.6755797699518405,0.0,152.10000000000008,1388.2078464366184,0.0,721.4409166666667,666.09135
2025-01-04 22:00:00-06:00,1262.7242333333334,0.0,0.02057192313545136,0.6755797699518405,0.0,152.10000000000008,1263.3998131032852,0.0,730.1149,532.6093333333333
2025-01-04 23:00:00-06:00,1343.5852,0.0,0.019169292012579678,1500.0,0.0,1558.5909779470292,2843.5852,0.0,724.2488166666667,619.3363833333333
2025-01-05 00:00:00-06:00,1311.8786166666666,0.0,0.01870174830495579,0.0,0.0,1557.9572279470292,1311.8786166666666,0.0,649.2280666666667,662.65055
