Time,Combined Metrics,Main Service 496: Demand (kW) [kW],Main Service 580: Demand (kW) [kW]
2025-01-01 00:00:00 CST,845.1840333333333,416.2643,428.91973333333334
2025-01-01 01:00:00 CST,857.6377166666666,424.4420666666667,433.19565
2025-01-01 02:00:00 CST,825.18365,399.2209,425.96275
2025-01-01 03:00:00 CST,879.2933833333334,431.4979666666667,447.79541666666665
2025-01-01 04:00:00 CST,893.7017333333333,445.69196666666664,448.0097666666667
2025-01-01 05:00:00 CST,883.1269500000001,436.37233333333336,446.75461666666666
2025-01-01 06:00:00 CST,857.8497,415.20503333333335,442.6446666666667
2025-01-01 07:00:00 CST,871.6623,420.67105,450.99125
2025-01-01 08:00:00 CST,878.7511166666667,442.3141,436.4370166666667
2025-01-01 09:00:00 CST,852.8701833333333,409.80955,443.0606333333333
2025-01-01 10:00:00 CST,881.4522333333333,434.90411666666665,446.54811666666666
2025-01-01 11:00:00 CST,847.4074333333333,403.64476666666667,443.7626666666667
2025-01-01 12:00:00 CST,852.5732666666667,420.6232,431.95006666666666
2025-01-01 13:00:00 CST,845.4493166666666,414.59685,430.85246666666666
2025-01-01 14:00:00 CST,857.2161666666666,417.85405,439.3621166666667
2025-01-01 15:00:00 CST,829.7207,399.58801666666665,430.1326833333333
2025-01-01 16:00:00 CST,847.0164,406.61173333333335,440.4046666666667
2025-01-01 17:00:00 CST,832.7088166666667,400.00851666666665,432.7003
2025-01-01 18:00:00 CST,786.92445,353.0593333333333,433.86511666666667
2025-01-01 19:00:00 CST,798.7283,355.8235,442.9048
2025-01-01 20:00:00 CST,773.105,344.19195,428.91305
2025-01-01 21:00:00 CST,758.1101833333333,318.5647666666667,439.54541666666665
2025-01-01 22:00:00 CST,675.7760333333333,251.67661666666666,424.0994166666667
2025-01-01 23:00:00 CST,688.30285,247.05005,441.2528
2025-01-02 00:00:00 CST,685.80935,252.08253333333334,433.72681666666665
2025-01-02 01:00:00 CST,707.1229,271.9371,435.1858
2025-01-02 02:00:00 CST,822.1521833333334,377.49421666666666,444.65796666666665
2025-01-02 03:00:00 CST,793.1186333333333,355.61226666666664,437.5063666666667
2025-01-02 04:00:00 CST,826.7548,365.8824,460.8724
2025-01-02 05:00:00 CST,926.8778666666667,467.48331666666667,459.39455
2025-01-02 06:00:00 CST,1089.9972833333334,593.7601666666667,496.2371166666667
2025-01-02 07:00:00 CST,1099.7973333333334,595.0280666666666,504.7692666666667
2025-01-02 08:00:00 CST,1086.7840166666667,594.5496666666667,492.23435
2025-01-02 09:00:00 CST,1036.1146833333332,551.6529333333333,484.46175
2025-01-02 10:00:00 CST,1098.7469666666666,597.04225,501.7047166666667
2025-01-02 11:00:00 CST,1140.9579666666666,625.6280333333333,515.3299333333333
2025-01-02 12:00:00 CST,1121.7812833333332,609.5265166666667,512.2547666666667
2025-01-02 13:00:00 CST,1177.4600666666665,639.6382833333333,537.8217833333333
2025-01-02 14:00:00 CST,1110.1046833333332,589.3951,520.7095833333333
2025-01-02 15:00:00 CST,1135.1325833333333,598.3957166666667,536.7368666666666
2025-01-02 16:00:00 CST,1044.5796,565.5824833333334,478.99711666666667
2025-01-02 17:00:00 CST,1032.7984333333334,568.1345333333334,464.6639
2025-01-02 18:00:00 CST,1008.4774333333334,541.2408,467.2366333333333
2025-01-02 19:00:00 CST,997.7714000000001,540.8569333333334,456.91446666666667
2025-01-02 20:00:00 CST,994.4304833333333,557.7543,436.6761833333333
2025-01-02 21:00:00 CST,1041.94295,597.6547,444.28825
2025-01-02 22:00:00 CST,977.9517166666667,534.77895,443.1727666666667
2025-01-02 23:00:00 CST,967.4922833333334,533.8786833333334,433.6136
2025-01-03 00:00:00 CST,1018.0037333333333,586.2996166666667,431.70411666666666
2025-01-03 01:00:00 CST,931.9803333333333,500.01415,431.96618333333333
2025-01-03 02:00:00 CST,889.1850333333334,456.88938333333334,432.29565
2025-01-03 03:00:00 CST,809.5608166666666,384.8930833333333,424.66773333333333
2025-01-03 04:00:00 CST,775.1483333333333,324.59731666666664,450.55101666666667
