Time,Combined Metrics,Main Service MDP 1: Demand (kW) [kW],Main Service MDP 2: Demand (kW) [kW]
2025-01-01 00:00:00 CST,1300.3638333333333,726.2007666666667,574.1630666666666
2025-01-01 01:00:00 CST,1349.6433499999998,709.5156,640.12775
2025-01-01 02:00:00 CST,1250.6119166666667,738.8314833333334,511.78043333333335
2025-01-01 03:00:00 CST,1419.2436166666666,808.0906666666667,611.15295
2025-01-01 04:00:00 CST,1447.0414999999998,790.6339333333333,656.4075666666666
2025-01-01 05:00:00 CST,1334.10365,778.5586166666667,555.5450333333333
2025-01-01 06:00:00 CST,1370.3455166666668,756.1184333333333,614.2270833333333
2025-01-01 07:00:00 CST,1410.3746666666666,767.0912,643.2834666666666
2025-01-01 08:00:00 CST,1373.5960666666667,740.8681,632.7279666666667
2025-01-01 09:00:00 CST,1250.9077166666666,722.3231666666667,528.58455
2025-01-01 10:00:00 CST,1318.4467,714.0144833333334,604.4322166666667
2025-01-01 11:00:00 CST,1258.0404333333333,723.8112833333333,534.22915
2025-01-01 12:00:00 CST,1295.4201833333332,715.87745,579.5427333333333
2025-01-01 13:00:00 CST,1308.7585166666668,736.74625,572.0122666666666
2025-01-01 14:00:00 CST,1376.6173666666668,767.0279,609.5894666666667
2025-01-01 15:00:00 CST,1345.6166333333333,749.1079333333333,596.5087
2025-01-01 16:00:00 CST,1289.8402833333334,748.23545,541.6048333333333
2025-01-01 17:00:00 CST,1281.8924,715.3042333333333,566.5881666666667
2025-01-01 18:00:00 CST,1411.4861999999998,791.5544166666666,619.9317833333333
2025-01-01 19:00:00 CST,1287.1830166666666,752.4014833333333,534.7815333333333
2025-01-01 20:00:00 CST,1312.7191833333334,723.9649666666667,588.7542166666667
2025-01-01 21:00:00 CST,1283.0966666666668,747.22145,535.8752166666667
2025-01-01 22:00:00 CST,1287.2381166666667,702.8773,584.3608166666667
2025-01-01 23:00:00 CST,1347.8890500000002,739.6545166666667,608.2345333333334
2025-01-02 00:00:00 CST,1402.01075,776.9049666666667,625.1057833333333
2025-01-02 01:00:00 CST,1336.4720166666666,754.24305,582.2289666666667
2025-01-02 02:00:00 CST,1323.6189333333332,748.1910666666666,575.4278666666667
2025-01-02 03:00:00 CST,1234.1307833333335,721.4478833333334,512.6829
2025-01-02 04:00:00 CST,1271.1168666666667,692.5808333333333,578.5360333333333
2025-01-02 05:00:00 CST,1461.2032666666667,785.91585,675.2874166666667
2025-01-02 06:00:00 CST,1434.5923166666666,766.0369,668.5554166666667
2025-01-02 07:00:00 CST,1470.0882666666666,773.6681166666667,696.42015
2025-01-02 08:00:00 CST,1469.8060666666665,767.2598333333333,702.5462333333334
2025-01-02 09:00:00 CST,1434.1714,738.1216,696.0498
2025-01-02 10:00:00 CST,1421.1526059322034,706.4143559322034,714.73825
2025-01-02 11:00:00 CST,1447.1707000000001,770.1609166666667,677.0097833333333
2025-01-02 12:00:00 CST,1551.32995,857.0956833333333,694.2342666666667
2025-01-02 13:00:00 CST,1468.9926666666665,791.1803166666666,677.81235
2025-01-02 14:00:00 CST,1433.0601,747.43855,685.62155
2025-01-02 15:00:00 CST,1488.8531333333333,801.9426333333333,686.9105
2025-01-02 16:00:00 CST,1462.8413666666665,757.1706666666666,705.6707
2025-01-02 17:00:00 CST,1402.7708333333335,721.2104,681.5604333333333
2025-01-02 18:00:00 CST,1390.2766333333334,726.35005,663.9265833333334
2025-01-02 19:00:00 CST,1430.9906,757.6541,673.3365
2025-01-02 20:00:00 CST,1440.9130333333333,747.9156333333333,692.9974
2025-01-02 21:00:00 CST,1501.5042166666667,810.6996833333334,690.8045333333333
